Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame
1res_A5EON;1;0;0;0
1res_A5EON;2;3,8;5,18;1,33
1res_A5EON;3;6,36;5,88;2,32
1res_A5EON;4;7,76;6,32;3,34
1res_A5EON;5;8,89;6,19;4,57
1res_A5EON;6;11,43;7,09;5,48
1res_A5EON;7;14,55;8,44;8,41
1res_A5EON;8;18,66;12,02;9,37
1res_A5EON;9;19,82;16,06;9,89
1res_A5EON;10;19,77;14,72;10,47
1res_A5EON;11;20,61;14,09;11,9
1res_A5EON;12;20,79;14,66;11,67
1res_A5EON;13;21,74;15,5;11,38
1res_A5EON;14;20,11;11,67;10,74
1res_A5EON;15;19,16;12,15;10,45
1res_A5EON;16;20,11;10,23;11,36
1res_A5EON;17;23,16;11,69;13,15
1res_A5EON;18;26,57;14,66;14,32
1res_A5EON;19;25,51;16,28;12,44
1res_A5EON;20;24,79;14,3;13,24
1res_A5EON;21;22,11;12,86;11,47
1res_A5EON;22;21,17;9,25;11,87
1res_A5EON;23;18,78;5,19;12,35
1res_A5EON;24;16,08;4,33;11,41
1res_A5EON;25;16,46;1,88;11,42
1res_A5EON;26;17,04;1,14;10,71
1res_A5EON;27;14,52;-2,82;10,04
1res_A5EON;28;12,5;-5,62;8,92
1res_A5EON;29;8,82;-8,7;8,86
1res_A5EON;30;9,02;-11,68;10,17
1res_A5EON;31;9,02;-12,85;9,6
1res_A5EON;32;8,4;-16,82;8,01
1res_A5EON;33;6,97;-17,39;8,13
1res_A5EON;34;5,95;-15,95;6,34
1res_A5EON;35;5,62;-17,92;8,25
1res_A5EON;36;6,22;-20,08;10,33
1res_A5EON;37;7,46;-22,5;9,31
1res_A5EON;38;4,42;-21,63;9,77
1res_A5EON;39;1,88;-23,69;8,12
1res_A5EON;40;4,6;-23,68;8,71
1res_A5EON;41;3,84;-22,58;10,09
1res_A5EON;42;3,4;-25,15;12,62
1res_A5EON;43;5,34;-24,79;12,48
1res_A5EON;44;7,15;-24,57;11,27
1res_A5EON;45;6,54;-25,42;13,33
1res_A5EON;46;6,32;-26,63;14,79
1res_A5EON;47;6,15;-28,17;15,44
1res_A5EON;48;5,46;-30,89;14,46
1res_A5EON;49;2,32;-31,31;14,89
1res_A5EON;50;2,47;-32,12;14,17
1res_A5EON;51;2,26;-31;13,66
1res_A5EON;52;2,64;-31,2;14,87
1res_A5EON;53;1,6;-33,18;13,46
1res_A5EON;54;1,43;-33,86;13,75
1res_A5EON;55;1,9;-34,62;13,03
1res_A5EON;56;0,69;-35,25;14,29
1res_A5EON;57;2,68;-34,73;14,23
1res_A5EON;58;2,19;-35,13;14,36
1res_A5EON;59;1,33;-35,19;15,41
1res_A5EON;60;0,56;-35,27;16,47
1res_A5EON;61;1,19;-36,8;15,01
1res_A5EON;62;-0,45;-37,19;16,13
1res_A5EON;63;0,23;-36,29;14,71
1res_A5EON;64;-1,5;-37,13;12,75
1res_A5EON;65;0,25;-36,61;14,85
1res_A5EON;66;0,54;-35,37;13,24
1res_A5EON;67;0,46;-34,89;13,03
1res_A5EON;68;2,11;-34,18;12,86
1res_A5EON;69;3,72;-32,85;13,5
1res_A5EON;70;3,13;-33,54;12,66
1res_A5EON;71;2,05;-33,32;13,56
1res_A5EON;72;2,95;-32,82;13,42
1res_A5EON;73;3,68;-32,61;13,39
1res_A5EON;74;4,07;-31,57;14,06
1res_A5EON;75;4,07;-31,57;14,06
1res_A5EON;76;3,04;-32,05;13,1
1res_A5EON;77;3,06;-31,59;12,9
1res_A5EON;78;2,99;-31,5;12,85
1res_A5EON;79;4,27;-31,38;12,9
1res_A5EON;80;3,99;-32,04;12,08
1res_A5EON;81;4,37;-31,9;9,88
1res_A5EON;82;3,85;-31,34;10,68
1res_A5EON;83;3,11;-31,62;10,74
1res_A5EON;84;3,17;-31,14;12,71
1res_A5EON;85;3,47;-31,1;12,72
1res_A5EON;86;4,07;-31,42;12,91
1res_A5EON;87;5,28;-29,6;12,21
1res_A5EON;88;3,97;-30,63;12,56
1res_A5EON;89;4,64;-30,66;12,62
1res_A5EON;90;4,64;-30,66;12,62
1res_A4EON;1;0;0;0
1res_A4EON;2;2,78;-0,48;1,52
1res_A4EON;3;5,21;-1,38;2,12
1res_A4EON;4;6,33;-2,19;2,56
1res_A4EON;5;9,52;-2,5;2,96
1res_A4EON;6;9,57;-2,24;5,03
1res_A4EON;7;9,61;-1,41;4,67
1res_A4EON;8;9,54;-3,61;3,45
1res_A4EON;9;10,17;-4,31;1,63
1res_A4EON;10;11,02;-6,54;2,67
1res_A4EON;11;13,25;-7,66;3,34
1res_A4EON;12;13,3;-8,91;4,98
1res_A4EON;13;13,8;-10,73;5,26
1res_A4EON;14;13,15;-10,06;5,69
1res_A4EON;15;13,1;-8,74;7,06
1res_A4EON;16;15,19;-12,99;7,3
1res_A4EON;17;14,85;-14,89;9,24
1res_A4EON;18;18,36;-16,77;8,98
1res_A4EON;19;19,47;-17,88;8,32
1res_A4EON;20;20,04;-21,63;9,8
1res_A4EON;21;19,52;-24,86;10,36
1res_A4EON;22;20,25;-27,5;10
1res_A4EON;23;19,05;-31,31;12,78
1res_A4EON;24;17,13;-34,56;15,55
1res_A4EON;25;17,17;-36,8;15,25
1res_A4EON;26;19;-36,76;14,29
1res_A4EON;27;18,88;-35,51;14,07
1res_A4EON;28;19,32;-37,55;14,69
1res_A4EON;29;20,01;-41,26;19,15
1res_A4EON;30;21,63;-41,31;17,21
1res_A4EON;31;21,71;-43,19;20,12
1res_A4EON;32;21,47;-45,24;21,87
1res_A4EON;33;22,08;-47,81;21,42
1res_A4EON;34;21,05;-48,1;18,46
1res_A4EON;35;20,54;-50,08;22,45
1res_A4EON;36;20,43;-50,49;21,12
1res_A4EON;37;18,4;-51,77;21,15
1res_A4EON;38;18,67;-52,23;20,99
1res_A4EON;39;19,53;-53,77;20,64
1res_A4EON;40;21,11;-53,92;20,84
1res_A4EON;41;19,68;-55;21,19
1res_A4EON;42;19,53;-55,39;19,17
1res_A4EON;43;20,43;-56,32;19,65
1res_A4EON;44;21,41;-56,3;19,72
1res_A4EON;45;20,78;-56,29;20,75
1res_A4EON;46;22,91;-57,89;21,62
1res_A4EON;47;22,26;-57,68;24,74
1res_A4EON;48;23,24;-59,53;24,54
1res_A4EON;49;22,77;-60,57;26,04
1res_A4EON;50;23,56;-61,74;23,35
1res_A4EON;51;23,12;-63;22,77
1res_A4EON;52;22,41;-62,74;22,6
1res_A4EON;53;23,2;-63,1;26,09
1res_A4EON;54;21,8;-61,8;25,41
1res_A4EON;55;21,04;-62,87;24,72
1res_A4EON;56;21,67;-62,72;26,89
1res_A4EON;57;22,31;-62,71;25,84
1res_A4EON;58;22,08;-63,93;24,18
1res_A4EON;59;22,7;-63,62;24,1
1res_A4EON;60;23,84;-62,6;23,75
1res_A4EON;61;24,78;-62,41;24,83
1res_A4EON;62;24,44;-62,21;25,8
1res_A4EON;63;25,21;-61,92;23,57
1res_A4EON;64;24,61;-62,34;25,87
1res_A4EON;65;24,74;-62,06;26,85
1res_A4EON;66;25,52;-61,9;24,67
1res_A4EON;67;24,46;-60,65;25,12
1res_A4EON;68;25,06;-61,43;25,52
1res_A4EON;69;26,34;-60,57;25,25
1res_A4EON;70;20,63;-55,54;36,73
1res_A4EON;71;20,63;-55,54;36,73
1res_A4EON;72;21,59;-54,81;35,4
1res_A4EON;73;19,99;-55,59;36,7
1res_A4EON;74;16,92;-55,47;30,95
1res_A4EON;75;17,29;-55,89;32,25
1res_A4EON;76;16,75;-55,64;29,92
1res_A4EON;77;16,75;-55,34;29,79
1res_A4EON;78;16,49;-54,43;28,29
1res_A4EON;79;16,75;-54,54;29,45
1res_A4EON;80;20,42;-55,84;33,57
1res_A4EON;81;21,5;-56,06;35,94
1res_A4EON;82;20,51;-56,8;37,26
1res_A4EON;83;20,91;-56,56;35,02
1res_A4EON;84;22,9;-56,12;37,17
1res_A4EON;85;24,72;-55,59;39,26
1res_A4EON;86;25,18;-55,18;42,39
1res_A4EON;87;24,29;-55,26;37,99
1res_A4EON;88;24,41;-54,98;38,97
1res_A4EON;89;24,59;-55,24;38,01
1res_A4EON;90;24,59;-55,24;38,01
1res_A1EON;1;0;0;0
1res_A1EON;2;0,99;0,05;3,32
1res_A1EON;3;3,92;1,82;2,8
1res_A1EON;4;5,78;3,13;3,47
1res_A1EON;5;7,82;3,51;2,39
1res_A1EON;6;8,88;2,36;2,98
1res_A1EON;7;7,82;0,62;2,56
1res_A1EON;8;8,05;-0,92;2,16
1res_A1EON;9;3,51;-2,39;2,42
1res_A1EON;10;2,89;-4,9;3,46
1res_A1EON;11;6,95;-6,28;3,31
1res_A1EON;12;6,27;-8,47;4,2
1res_A1EON;13;6,66;-9,54;3,61
1res_A1EON;14;6,32;-10,65;5,15
1res_A1EON;15;6,99;-11,35;4,42
1res_A1EON;16;7,08;-10,34;11,61
1res_A1EON;17;6,68;-9,57;13,42
1res_A1EON;18;8,51;-9,5;12,36
1res_A1EON;19;9,98;-9,12;11,32
1res_A1EON;20;9,53;-12,19;11,52
1res_A1EON;21;6,73;-16,62;15,4
1res_A1EON;22;6,67;-17,1;13,87
1res_A1EON;23;6,08;-16,88;13,39
1res_A1EON;24;7,74;-18,41;12,99
1res_A1EON;25;8,01;-20,15;12,68
1res_A1EON;26;8,56;-23,12;14,02
1res_A1EON;27;8,38;-22,41;12,61
1res_A1EON;28;9,06;-26,37;13,3
1res_A1EON;29;9,25;-27,08;14,71
1res_A1EON;30;11,15;-27,66;15,12
1res_A1EON;31;11,41;-28,44;17,66
1res_A1EON;32;13,21;-30,34;18,63
1res_A1EON;33;13,53;-31,43;16,96
1res_A1EON;34;13,15;-31,27;16,86
1res_A1EON;35;11,66;-31,37;17,87
1res_A1EON;36;12,52;-34,07;19,11
1res_A1EON;37;12,63;-35,6;18,7
1res_A1EON;38;13,04;-35,86;18,84
1res_A1EON;39;13,16;-37,8;19,7
1res_A1EON;40;12,4;-39,21;21,33
1res_A1EON;41;12,14;-40,03;20,58
1res_A1EON;42;11,13;-40,41;20,66
1res_A1EON;43;12,01;-43,79;20,03
1res_A1EON;44;12,23;-43,41;20,97
1res_A1EON;45;13,11;-44,9;21,69
1res_A1EON;46;15,18;-45,76;22,24
1res_A1EON;47;14,97;-46,87;23,79
1res_A1EON;48;14,31;-48,49;24,44
1res_A1EON;49;13,43;-48,62;25,51
1res_A1EON;50;12,69;-48,18;26,35
1res_A1EON;51;13,21;-47,12;25,93
1res_A1EON;52;12,65;-47,66;25,03
1res_A1EON;53;13,08;-48,34;26,45
1res_A1EON;54;13,47;-49,48;25,89
1res_A1EON;55;13,01;-49,56;25,88
1res_A1EON;56;12,83;-49,57;26,96
1res_A1EON;57;14,41;-48,11;27,55
1res_A1EON;58;14,92;-48,59;26,71
1res_A1EON;59;16,49;-47,7;25,36
1res_A1EON;60;17,77;-46,19;24,81
1res_A1EON;61;18,47;-48,03;25,67
1res_A1EON;62;18,03;-46,99;27,36
1res_A1EON;63;19,28;-47,9;25,68
1res_A1EON;64;19,59;-47,95;26,82
1res_A1EON;65;20,79;-47,98;26,93
1res_A1EON;66;22,07;-47,46;25,72
1res_A1EON;67;22,53;-47,05;26,67
1res_A1EON;68;23,34;-48,22;27,24
1res_A1EON;69;23,11;-46,3;26,39
1res_A1EON;70;24,44;-45,76;26,27
1res_A1EON;71;24,67;-45,39;27,21
1res_A1EON;72;24,15;-43,19;26,21
1res_A1EON;73;23,64;-42,4;25,83
1res_A1EON;74;22,81;-43,08;26,05
1res_A1EON;75;23,05;-44,03;25,4
1res_A1EON;76;23,47;-45,7;26,16
1res_A1EON;77;23,69;-46,89;24,52
1res_A1EON;78;23,82;-44,68;24,66
1res_A1EON;79;24,62;-45,75;25,19
1res_A1EON;80;24,09;-47,1;28,99
1res_A1EON;81;22,47;-47,67;30,2
1res_A1EON;82;22,32;-48,81;28,5
1res_A1EON;83;22,26;-48,17;27,14
1res_A1EON;84;24,71;-47,89;27,22
1res_A1EON;85;24,91;-47,96;28,35
1res_A1EON;86;25,2;-48,57;27,55
1res_A1EON;87;26,26;-49,16;27,9
