Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame
1sur_A1EON;1;0;0;0
1sur_A1EON;2;1,43;-0,28;-0,64
1sur_A1EON;3;1,43;-0,28;-0,64
1sur_A1EON;4;2,71;-0,57;-1,06
1sur_A1EON;5;3,44;-0,29;-1,25
1sur_A1EON;6;3,97;-2,64;-3,75
1sur_A1EON;7;2,82;-1,91;-2,28
1sur_A1EON;8;3,58;-2,42;-1,52
1sur_A1EON;9;4,47;-2,54;-3,89
1sur_A1EON;10;4,59;-1,87;-4,9
1sur_A1EON;11;5,03;-3,1;-5,17
1sur_A1EON;12;5,16;-3,2;-4,17
1sur_A1EON;13;5,26;-4,91;-6,47
1sur_A1EON;14;6,45;-5,97;-7,99
1sur_A1EON;15;5,94;-8,03;-8,06
1sur_A1EON;16;6,15;-6,69;-9,02
1sur_A1EON;17;6,48;-7;-9,16
1sur_A1EON;18;7,84;-9,44;-8,78
1sur_A1EON;19;6,98;-9,69;-12,73
1sur_A1EON;20;5,91;-9,04;-11,29
1sur_A1EON;21;6,57;-9,53;-12,59
1sur_A1EON;22;7,41;-10,87;-12,99
1sur_A1EON;23;8,73;-12,25;-12,49
1sur_A1EON;24;8,71;-12,82;-10,45
1sur_A1EON;25;8,51;-11,94;-11,35
1sur_A1EON;26;9,11;-13,84;-11,73
1sur_A1EON;27;8,65;-14,22;-14,77
1sur_A1EON;28;8,78;-14,85;-13,83
1sur_A1EON;29;8,46;-16,33;-15,98
1sur_A1EON;30;8,33;-17,99;-18,21
1sur_A1EON;31;8,46;-19,12;-17,33
1sur_A1EON;32;8,7;-20,72;-16,53
1sur_A1EON;33;8,94;-21,65;-16,7
1sur_A1EON;34;9,44;-22,3;-20,06
1sur_A1EON;35;10,18;-23,41;-19,35
1sur_A1EON;36;10,54;-25,07;-17,55
1sur_A1EON;37;11,21;-25,58;-19,9
1sur_A1EON;38;11,44;-26,49;-20,06
1sur_A1EON;39;12,57;-27,66;-20,53
1sur_A1EON;40;12,95;-29,34;-18,74
1sur_A1EON;41;13,86;-29,6;-19,04
1sur_A1EON;42;14,52;-30,4;-17,23
1sur_A1EON;43;15,61;-30,26;-21,72
1sur_A1EON;44;16,32;-31,76;-18,96
1sur_A1EON;45;18,18;-33,49;-17,62
1sur_A1EON;46;18,22;-35,61;-18,91
1sur_A1EON;47;16,14;-42,68;-16,95
1sur_A1EON;48;15,56;-43,66;-17,93
1sur_A1EON;49;15,91;-42,91;-20,04
1sur_A1EON;50;16,23;-44,87;-19,3
1sur_A1EON;51;14,25;-44,65;-22,55
1sur_A1EON;52;13,92;-45,56;-24,95
1sur_A1EON;53;15,93;-44;-24,34
1sur_A1EON;54;16,59;-44,57;-22,52
1sur_A1EON;55;17,42;-45,3;-22,84
1sur_A1EON;56;18,39;-45,98;-22,16
1sur_A1EON;57;19,12;-46,39;-21,38
1sur_A1EON;58;19,44;-46,81;-21,52
1sur_A1EON;59;19,25;-47,07;-21,49
1sur_A1EON;60;20,28;-47,84;-19,8
1sur_A1EON;61;20,9;-48,18;-17,93
1sur_A1EON;62;21,41;-49,1;-17,14
1sur_A1EON;63;22,27;-48,74;-19,06
1sur_A1EON;64;21,43;-49,96;-18,53
1sur_A1EON;65;21,8;-50,74;-19,2
1sur_A1EON;66;22,27;-52,61;-18,76
1sur_A1EON;67;22,72;-54,34;-17,99
1sur_A1EON;68;24,05;-55,26;-18,8
1sur_A1EON;69;24,63;-56,69;-16,58
1sur_A1EON;70;23,98;-58;-15,48
1sur_A1EON;71;24,05;-57,31;-17,05
1sur_A1EON;72;24,56;-56,64;-16,73
1sur_A1EON;73;27,59;-57,78;-16,79
1sur_A1EON;74;28,51;-56,98;-13,85
1sur_A1EON;75;28,25;-57,63;-13,84
1sur_A1EON;76;27,19;-56,77;-15,52
1sur_A1EON;77;28,51;-57,04;-13,86
1sur_A1EON;78;28,18;-56,49;-13,7
1sur_A1EON;79;27,86;-56,04;-12,51
1sur_A1EON;80;28,01;-55,27;-12,47
1sur_A1EON;81;28,03;-54,74;-12,42
1sur_A1EON;82;28,01;-54,28;-11,32
1sur_A1EON;83;27,07;-55,23;-12,18
1sur_A1EON;84;27,16;-54,55;-11,09
1sur_A1EON;85;26,54;-54,91;-11,99
1sur_A1EON;86;26,12;-55,1;-10,84
1sur_A1EON;87;28,19;-52,01;-10,63
1sur_A1EON;88;27,66;-52,57;-10,71
1sur_A1EON;89;27,37;-51,99;-10,26
1sur_A1EON;90;28,54;-51,36;-11,14
1sur_B1EON;1;0;0;0
1sur_B1EON;2;-1,32;-1,53;1,28
1sur_B1EON;3;-8,13;-8,49;1,01
1sur_B1EON;4;-10,19;-11,22;-4,3
1sur_B1EON;5;-11,76;-12,93;-4,46
1sur_B1EON;6;-10,13;-12,03;-6,4
1sur_B1EON;7;-13,47;-16,07;-5,57
1sur_B1EON;8;-14,73;-17,5;-5,81
1sur_B1EON;9;-14,4;-20;-8,27
1sur_B1EON;10;-14,31;-19,6;-7,21
1sur_B1EON;11;-14,18;-19,76;-9,35
1sur_B1EON;12;-16,64;-20,99;-4,57
1sur_B1EON;13;-18,77;-22,04;-1,95
1sur_B1EON;14;-20,05;-23,14;-4,81
1sur_B1EON;15;-21,56;-25,54;-4,62
1sur_B1EON;16;-23;-26,83;-3,28
1sur_B1EON;17;-23,11;-27,18;-3,28
1sur_B1EON;18;-23,26;-28,21;-4,39
1sur_B1EON;19;-24,11;-27,84;-3,05
1sur_B1EON;20;-24,95;-25,76;-3,62
1sur_B1EON;21;-22,6;-27,93;-6,22
1sur_B1EON;22;-23,44;-31,97;-6,16
1sur_B1EON;23;-24,04;-33,41;-5,24
1sur_B1EON;24;-23,4;-35,48;-6,18
1sur_B1EON;25;-26,07;-36,61;-3,41
1sur_B1EON;26;-26,38;-37,3;-4,43
1sur_B1EON;27;-26,43;-37,55;-4,44
1sur_B1EON;28;-26,54;-39,57;-5,67
1sur_B1EON;29;-26,61;-40,37;-3,65
1sur_B1EON;30;-26,65;-42,52;-4,91
1sur_B1EON;31;-27,81;-43,71;-6,78
1sur_B1EON;32;-27,46;-45,39;-6,02
1sur_B1EON;33;-27,91;-46,56;-6,01
1sur_B1EON;34;-29,43;-46,7;-5,57
