Track name;Time;Displacement X Reference Frame;Displacement Y Reference Frame;Displacement Z Reference Frame;Position X Reference Frame;Position Y Reference Frame;Position Z Reference Frame;Velocity Angle X Reference Frame;Velocity Angle Y Reference Frame;Velocity Angle Z Reference Frame
1wt_A1EON;1;0;0;0;-22,92;124,58;-79,77;123,26;72,27;141,15
1wt_A1Skin;1;0;0;0;-51,72;107,32;-73,49;121,54;64,45;137,32
1wt_A2EON;1;0;0;0;-14,54;112,86;-60,5;139,66;83,47;129,6
1wt_A2Skin;1;0;0;0;-80,91;85,7;-86,25;116,08;53,47;132,28
1wt_B1EON;1;0;0;0;36,52;120,02;-76,64;153,8;66,04;99,98
1wt_B1Skin;1;0;0;0;36,45;91,74;-42,53;121,85;32,95;97,6
1wt_B2EON;1;0;0;0;30,72;117,45;-64,31;137,62;49,11;99,26
1wt_B2Skin;1;0;0;0;61,28;97,71;-60,1;114,57;31,43;108,34
1wt_C1EON;1;0;0;0;-56,22;42,03;-75,59;118,44;48,02;124,81
1wt_C1Skin;1;0;0;0;-15;21,23;-32,47;132,83;45,25;101,87
1wt_C2EON;1;0;0;0;-43,91;66,51;-67,84;119,63;42,73;117,69
1wt_C2Skin;1;0;0;0;-32,51;47,39;-44,86;131,83;59,95;123,5
1wt_D1EON;1;0;0;0;40,34;42,8;-47,33;107,9;26,68;70,89
1wt_D1Skin;1;0;0;0;52,49;32,99;-41,77;131,6;47,44;71,39
1wt_D2EON;1;0;0;0;54,08;49,33;-61,59;89,15;3,23;93,11
1wt_D2Skin;1;0;0;0;96,7;54,27;-72,84;117,59;35,54;69,43
1wt_E1EON;1;0;0;0;-14,33;-39,73;-56,85;53,33;36,85;86,88
1wt_E1Skin;1;0;0;0;-41,42;-35,77;-67,45;109,36;19,76;86,2
1wt_E2EON;1;0;0;0;-29,63;-31,1;-65,97;106,77;24,56;107,41
1wt_E2Skin;1;0;0;0;-53,05;-18,23;-72,6;124,76;38,5;104,48
1wt_F1EON;1;0;0;0;50,38;-13,44;-62,68;75,53;14,5;90,76
1wt_F1Skin;1;0;0;0;57,95;-15,39;-59,9;107,68;42,16;53,23
1wt_F2EON;1;0;0;0;68,84;11,89;-65,08;113,46;36,94;63,24
1wt_F2Skin;1;0;0;0;61,38;6,7;-53,93;108,94;34,67;62,16
1wt_A1EON;2;-6,62;3,68;-9,41;-29,55;128,26;-89,18;126,36;72,98;138,62
1wt_A1Skin;2;-9,34;7,7;-13,12;-61,06;115,01;-86,62;121,69;63,96;136,8
1wt_A2EON;2;-7,66;1,14;-6,4;-22,2;114;-66,91;156,51;85,05;112,91
1wt_A2Skin;2;-7,87;10,65;-12,04;-88,77;96,35;-98,29;116,86;54,81;132,92
1wt_B1EON;2;-6,15;2,78;-1,19;30,36;122,8;-77,83;136,97;48,44;99,21
1wt_B1Skin;2;-3,33;5,3;-0,83;33,12;97,03;-43,36;122,93;36,57;104,11
1wt_B2EON;2;-6,6;5,85;-1,44;24,12;123,31;-65,75;133,78;52,62;113,01
1wt_B2Skin;2;-4,49;9,21;-3,4;56,79;106,92;-63,5;122,38;36,12;104,26
1wt_C1EON;2;-2,13;2,98;-2,55;-58,35;45,02;-78,14;107,5;41,45;126,14
1wt_C1Skin;2;-3,96;4,1;-1,2;-18,96;25,33;-33,67;127,21;42,08;106,79
1wt_C2EON;2;-4,41;6,55;-4,15;-48,32;73,06;-71,99;119,97;54,35;129,87
1wt_C2Skin;2;-4,67;3,5;-3,86;-37,18;50,89;-48,72;128,44;56,56;123,82
1wt_D1EON;2;-2,89;8,41;3,08;37,45;51,21;-44,25;104,89;15,02;88
1wt_D1Skin;2;-4,59;4,67;2,21;47,9;37,66;-39,57;127,93;40,05;79,04
1wt_D2EON;2;0,14;9,69;-0,53;54,22;59,02;-62,12;112,52;23,59;96,68
1wt_D2Skin;2;-3,46;6,07;2,62;93,24;60,34;-70,22;119,97;33,8;75,83
1wt_E1EON;2;2,07;2,78;0,19;-12,26;-36,96;-56,66;118,1;29,22;97,38
1wt_E1Skin;2;-3,18;9,03;0,64;-44,6;-26,74;-66,82;115,32;25,97;95,39
1wt_E2EON;2;-2,93;9,24;-3,04;-32,56;-21,87;-69,01;106,82;16,81;90,2
1wt_E2Skin;2;-5,51;7,56;-2,42;-58,56;-10,66;-75,01;127,6;44,55;110,28
1wt_F1EON;2;1,12;4,33;-0,06;51,5;-9,11;-62,74;94,34;7,9;83,41
1wt_F1Skin;2;-1,77;4,32;3,49;56,18;-11,07;-56,41;108,84;43,89;52,16
1wt_F2EON;2;-3,58;7,19;4,05;65,26;19,08;-61,03;108,96;23,73;76,27
1wt_F2Skin;2;-1,91;4,84;2,75;59,47;11,54;-51,18;110,66;34,74;63,41
1wt_A1EON;3;-12,28;6,07;-15,55;-35,21;130,64;-95,32;106,25;46;131,5
1wt_A1Skin;3;-18,97;15,85;-26,33;-70,69;123,17;-99,82;113,86;52,89;133,43
1wt_A2EON;3;-16,07;1,51;-6,82;-30,61;114,37;-67,33;174,77;87,86;94,77
1wt_A2Skin;3;-15,16;19,34;-22,85;-96,07;105,04;-109,11;118,87;58,65;134,79
1wt_B1EON;3;-11,25;10,21;-2,46;25,27;130,23;-79,1;108,27;19,33;96,1
1wt_B1Skin;3;-7,31;10,8;-3,28;29,15;102,53;-45,8;108,62;33,07;116,27
1wt_B2EON;3;-8,73;7,66;-4,93;21,99;125,11;-69,24;85;56,45;145,98
1wt_B2Skin;3;-10,38;15,66;-4,77;50,9;113,37;-64,87;118,91;35,33;108,5
1wt_C1EON;3;-5,51;13,73;-10,8;-61,73;55,77;-86,4;90,74;30,14;120,13
1wt_C1Skin;3;-7,88;9,67;-3,76;-22,88;30,9;-36,23;126,58;49,08;117,68
1wt_C2EON;3;-8,67;10,12;-11,13;-52,58;76,63;-78,97;128,15;64,7;131,32
1wt_C2Skin;3;-8,93;7,92;-8;-41,44;55,31;-52,86;126,16;57,67;127,22
1wt_D1EON;3;-3,91;14,7;0,53;36,43;57,51;-46,8;81,22;19,4;107,16
1wt_D1Skin;3;-8,85;11,02;2,74;43,64;44,01;-39,03;113,91;23,91;89,48
1wt_D2EON;3;-5,9;14,11;-1,79;48,18;63,44;-63,38;125,28;36,5;98,19
1wt_D2Skin;3;-7,63;12,69;3,74;89,07;66,97;-69,1;116,78;29,19;79,23
1wt_E1EON;3;-3,44;6,37;-0,94;-17,77;-33,37;-57,79;137,41;48,89;99,25
1wt_E1Skin;3;-7,55;15,88;-1,66;-48,97;-19,9;-69,11;123,08;40,25;110,24
1wt_E2EON;3;-5,89;19,5;-0,07;-35,52;-11,6;-66,04;103,51;25,45;68,86
1wt_E2Skin;3;-11,79;13,77;-6,7;-64,84;-4,46;-79,3;127,34;46,09;112,88
1wt_F1EON;3;-0,83;10,91;1,26;49,55;-2,53;-61,42;97,17;14,74;77,19
1wt_F1Skin;3;-3,55;7,93;6,75;54,39;-7,46;-53,15;106,59;43,6;51,12
1wt_F2EON;3;-4,78;13,47;3,49;64,06;25,36;-61,59;78,29;11,78;91,25
1wt_F2Skin;3;-3,97;9,26;5,04;57,41;15,96;-48,89;99,66;22,92;69,43
1wt_A1EON;4;-9,08;9,78;-15,22;-32;134,35;-94,99;37,82;52,75;84,39
1wt_A1Skin;4;-18,4;21,22;-28,53;-70,12;128,53;-102,02;98,93;28,57;116,89
1wt_A2EON;4;-19,42;1,59;-7,39;-33,96;114,44;-67,89;145,11;124,22;96,05
1wt_A2Skin;4;-18,77;22,4;-27,94;-99,68;108,1;-114,19;113,9;54,13;134,57
1wt_B1EON;4;-9,61;13,19;-2,36;26,91;133,21;-78,99;20,48;71,26;82,04
1wt_B1Skin;4;-6,48;13,58;-5,21;29,97;105,31;-47,74;98,63;24,09;112,31
1wt_B2EON;4;-6,28;7,92;-4,53;24,44;125,37;-68,85;15,67;105,58;91,66
1wt_B2Skin;4;-10,12;18,72;-7,09;51,16;116,43;-67,19;73,48;50,27;135,61
1wt_C1EON;4;-2,41;22,39;-13,81;-58,64;64,43;-89,4;64,5;28,39;101,63
1wt_C1Skin;4;-10,23;10,99;-6,08;-25,23;32,22;-38,55;128,79;67,95;133,1
1wt_C2EON;4;-11,45;11,42;-11,67;-55,36;77,93;-79,51;45,89;44,45;85,65
1wt_C2Skin;4;-10,82;9,08;-10,17;-43,33;56,47;-55,03;119,94;62,74;137,37
1wt_D1EON;4;-1,74;15,56;0,85;38,61;58,37;-46,49;20,42;105,55;102,91
1wt_D1Skin;4;-7,64;11,56;2,27;44,85;44,55;-39,5;24;103,31;109,6
1wt_D2EON;4;-5,26;17,22;-1,86;48,82;66,55;-63,45;2,01;88,1;90,66
1wt_D2Skin;4;-6,94;12,83;4,07;89,75;67,11;-68,77;31,61;93,06;121,43
1wt_E1EON;4;-8,69;12,39;-2,16;-23,03;-27,34;-59,01;121,57;32,73;97,79
1wt_E1Skin;4;-9,47;17,82;-3,35;-50,89;-17,95;-70,8;122,43;49,57;122,71
1wt_E2EON;4;-6,6;23,41;2,62;-36,22;-7,7;-63,35;92,63;27,69;62,46
1wt_E2Skin;4;-13,4;16,59;-7,48;-66,45;-1,64;-80,07;125,59;45,42;114,25
1wt_F1EON;4;0,27;10,9;1,45;50,65;-2,54;-61,23;26,84;64,29;82,84
1wt_F1Skin;4;-3,88;9,67;8,13;54,07;-5,72;-51,77;35,24;59,1;74,76
1wt_F2EON;4;-1,87;15,44;3,87;66,97;27,33;-61,21;15,35;77,37;81,43
1wt_F2Skin;4;-3,05;11,1;5,14;58,33;17,8;-48,8;8,77;87,58;98,43
1wt_A1EON;5;-2,32;13,7;-14,31;-25,25;138,28;-94,08;42,77;47,65;85,15
1wt_A1Skin;5;-20,6;25,06;-31,07;-72,32;132,38;-104,56;119,94;51,4;126,97
1wt_A2EON;5;-18,39;-0,07;-7,12;-32,93;112,78;-67,62;44,79;133,36;80,92
1wt_A2Skin;5;-18,52;24,2;-28,67;-99,43;109,9;-114,93;31,12;81,13;60,44
1wt_B1EON;5;-3,2;12,97;-1,27;33,32;132,99;-77,91;10,5;86,31;99,82
1wt_B1Skin;5;-8;14,99;-5,02;28,46;106,73;-47,55;166,74;88,35;76,85
1wt_B2EON;5;0,76;5,01;-5,21;31,48;122,46;-69,53;19,73;88,98;109,71
1wt_B2Skin;5;-8,96;18,85;-8,34;52,32;116,56;-68,44;40,51;91,23;130,49
1wt_C1EON;5;0,33;25,67;-13,54;-55,89;67,7;-89,13;31,95;58,87;83,53
1wt_C1Skin;5;-10,11;11,01;-6,19;-25,11;32,24;-38,66;56,39;141,84;105,93
1wt_C2EON;5;-4,82;14,07;-10,71;-48,73;80,58;-78,55;43,31;47,09;85,24
1wt_C2Skin;5;-10,65;9,49;-10,52;-43,16;56,88;-55,39;65,14;26,99;99,86
1wt_D1EON;5;3,28;12,65;-1,18;43,62;55,45;-48,52;44,53;126,17;112,26
1wt_D1Skin;5;-6,5;10,43;1,87;45,99;43,42;-39,9;110,79;143,14;61,08
1wt_D2EON;5;-0,18;14,3;-1,85;53,9;63,64;-63,44;31,64;115,37;72,38
1wt_D2Skin;5;-3,36;12,43;1,13;93,33;66,7;-71,71;39,2;107,1;124,02
1wt_E1EON;5;-8,03;13,75;-2,13;-22,36;-25,98;-58,98;94,94;6,4;94,07
1wt_E1Skin;5;-9,59;18,34;-3,72;-51,01;-17,43;-71,17;94,59;68,06;157,54
1wt_E2EON;5;-6,43;29,83;5,32;-36,05;-1,28;-60,65;90,09;25,3;64,7
1wt_E2Skin;5;-13,97;16,4;-8,23;-67,02;-1,83;-80,83;98,56;110,4;157,73
1wt_F1EON;5;1,01;11,81;1,52;51,39;-1,64;-61,16;32,97;57,8;83,68
1wt_F1Skin;5;-2,9;8,34;6,96;55,05;-7,05;-52,94;135,44;47,14;80,1
1wt_F2EON;5;2,04;15,01;4,54;70,88;26,91;-60,53;22,19;106,65;104,24
1wt_F2Skin;5;-1,41;9,37;4,66;59,97;16,07;-49,27;52,29;137,54;106,6
1wt_A1EON;6;-0,86;17,32;-14,27;-23,78;141,9;-94,04;39,23;51,29;84,6
1wt_A1Skin;6;-20,57;23,93;-31,14;-72,29;131,25;-104,63;57,59;139,74;68,83
1wt_A2EON;6;-15,27;-2,42;-6,46;-29,81;110,43;-66,97;36,47;124,79;80,39
1wt_A2Skin;6;-15,96;22,9;-26,32;-96,87;108,61;-112,57;42,2;112,45;56,45
1wt_B1EON;6;-0,6;13,78;-3,92;35,92;133,79;-80,56;52,89;72,79;137,79
1wt_B1Skin;6;-12,89;13,77;-3,71;23,57;105,5;-46,24;147;120,11;77,76
1wt_B2EON;6;5,29;8,14;-8,68;36,01;125,59;-72,99;20,45;79,74;107,49
1wt_B2Skin;6;-7,42;18,65;-9,41;53,87;116,36;-69,51;29,28;88,42;119,23
1wt_C1EON;6;1,2;24,6;-13,33;-55,02;66,63;-88,92;58,98;112,88;139,8
1wt_C1Skin;6;-9,81;10,4;-6,29;-24,81;31,63;-38,76;27,29;103,41;113,3
1wt_C2EON;6;-5,86;16,65;-11,03;-49,77;83,16;-78,87;130,77;42,09;98,72
1wt_C2Skin;6;-10,38;10,03;-10,35;-42,89;57,42;-55,22;108,46;44,69;128,9
